Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,86.1755218505859,..,..,..,..
Afghanistan,AFG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..
Afghanistan,AFG,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,..,..,..,..
Afghanistan,AFG,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,0.1,0.1,0.1,..
Afghanistan,AFG,Forest area (sq. km),AG.LND.FRST.K2,12084.4,12084.4,12084.4,..,..
Afghanistan,AFG,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,1.04124217051312,1.01676151884468,..,..,..
Afghanistan,AFG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..
Afghanistan,AFG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,18799444490.1128,19955929052.1496,14266499429.8746,14502158192.0904,..
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.91160341625552,-2.35110067203466,-20.7388393676343,-6.24017199240269,..
Afghanistan,AFG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,6.52147984832531,6.9629462552564,2.83899625081041,9.40623933931322,..
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,25.7739707394105,29.9755825210461,33.5976188725451,33.7014323213923,..
Afghanistan,AFG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,14.0581123697768,12.9525996015547,14.2736570191788,16.0503677223963,..
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,10.4208171386207,14.342152797537,18.3800424016375,..
Afghanistan,AFG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,..,36.2890774127896,37.06956357719,54.5054272070161,..
Afghanistan,AFG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,..,11.5,13,16.7,..
Afghanistan,AFG,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,..,..,..,..,..
Afghanistan,AFG,Start-up procedures to register a business (number),IC.REG.PROC,4,..,..,..,..
Afghanistan,AFG,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,..,..,..,..,..
Afghanistan,AFG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.17096838242129,1.35885692738929,1.827933856217,..,..
Afghanistan,AFG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,59.78387904,58.1902139,56.55443457,..,..
Afghanistan,AFG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,0,..,..,..,..
Afghanistan,AFG,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,40.6448180105462,36.6557727324253,43.1640573798007,43.7727951654965,..
Afghanistan,AFG,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,111.9034263703,118.1456362586,106.0297770432,..,..
Afghanistan,AFG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2661685956.5,3040072312.4,3555784339.6,3393247241.7,..
Afghanistan,AFG,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,0.291266953257151,0.228321083128007,0.181132658045911,0.176545692219133,..
Afghanistan,AFG,Net migration,SM.POP.NETM,-8082,166821,-183672,-65846,-65846
Afghanistan,AFG,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,217292317.990937,225420606.479917,..,..,..
Afghanistan,AFG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,23404553.647249,12970147.9832,20600980,..,..
Afghanistan,AFG,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,109.532568445639,107.997410010763,116.972143405097,94.6604998124367,..
Albania,ALB,"Population, total",SP.POP.TOTL,2854191,2837849,2811666,2777689,2745972
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.426007367032238,-0.574206959244013,-0.926918061639398,-1.21579032012532,-1.14841763771287
Albania,ALB,Surface area (sq. km),AG.SRF.TOTL.K2,28750,28750,28750,..,..
Albania,ALB,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,21.8,22,..,..,..
Albania,ALB,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,14933195208.448,14946210782.2386,17145585256.2806,18815089737.6346,20773695503.2538
Albania,ALB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,5230,5270,6100,6770,7570
Albania,ALB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,41175886638.3638,40292463124.0392,45086289512.0665,53151651063.5617,57976724227.2406
Albania,ALB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,14430,14200,16040,19140,21110
Albania,ALB,Income share held by lowest 20%,SI.DST.FRST.20,8.5,8.4,..,..,..
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.282,76.989,76.463,76.833,..
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.414,1.4,1.39,1.376,..
Albania,ALB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,15.013,14.672,14.517,14.46,..
Albania,ALB,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,..,..
Albania,ALB,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,..,..,..
Albania,ALB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,9.4,9.4,9.5,9.4,..
Albania,ALB,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..
Albania,ALB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,95,91,87,86,..
Albania,ALB,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,98.717529296875,99.2719268798828,97.2184371948242,101.176277160645,95.1351470947266
Albania,ALB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,99.0151519775391,95.9294509887695,97.6650314331055,97.3224716186523,96.1368789672852
Albania,ALB,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.018630027771,1.02399003505707,1.02570998668671,..,..
Albania,ALB,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,0.1,0.1,0.1,..
Albania,ALB,Forest area (sq. km),AG.LND.FRST.K2,7889,7889,7889,..,..
Albania,ALB,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,11.4656908158899,15.9535525979695,..,..,..
Albania,ALB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..
Albania,ALB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,15401826127.2539,15162734205.2462,17930565118.8176,18916378860.5488,22977677860.7979
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.08771199649604,-3.30208203862541,8.90852781831182,4.85640165227306,3.43914949919611
Albania,ALB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1.25702482876329,0.696542442312051,3.45443198973012,9.86601343108215,4.55308281133995
Albania,ALB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,18.3893323354028,19.2252227057273,18.3581252459328,18.6228214469268,18.2669838626379
Albania,ALB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,20.6196548783662,20.1145301950871,20.7469849089846,21.3944061535612,21.1561643427456
Albania,ALB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,31.3042698874727,22.6577896143959,31.3091607591559,37.395422208546,39.6233960066537
Albania,ALB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,44.9749247621036,37.1719398177669,44.7088213484193,47.7542583145142,44.9148946762443
Albania,ALB,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,23.0125955147467,22.9650300135768,24.8122951383153,..,..
Albania,ALB,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,19.3903472397819,17.973221771784,19.3001209202368,..,..
Albania,ALB,Start-up procedures to register a business (number),IC.REG.PROC,5,..,..,..,..
Albania,ALB,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,..,..,..,..,..
Albania,ALB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.28080596201472,1.29847911563693,1.22084466120546,1.58488092384586,..
Albania,ALB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,91.51642864,91.35050062,92.31992041,97.88570679,..
Albania,ALB,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,0.128427412960995,0.285854495639881,0.419509988977299,0.0596409977568037,..
Albania,ALB,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,55.9219402221345,53.2621616304911,62.892607819511,67.1798767284327,56.3024691980375
Albania,ALB,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,103.9745074856,103.9294905175,103.7218886175,..,..
Albania,ALB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,9274545228.5,10477366100.7,11054877741.5,10454989641.6,..
Albania,ALB,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,4.20690380931844,7.6656513075063,4.99863607948526,3.9351843282986,..
Albania,ALB,Net migration,SM.POP.NETM,-8889,-9117,-10612,-8000,-8000
Albania,ALB,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,119679640.769479,124630375.669198,140344309.701299,149489653.212121,178276905.235549
Albania,ALB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1201022154.46643,1069744879.65453,1218586452.37158,1441381891.41694,1614450266.79211
Albania,ALB,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,9.48429859628322,109.089661420416,225.28279778258,113.587233763616,..
Algeria,DZA,"Population, total",SP.POP.TOTL,42705368,43451666,44177969,44903225,45606480
Algeria,DZA,Population growth (annual %),SP.POP.GROW,1.83944488568624,1.73245672803153,1.65770320084269,1.62833925417918,1.55401932380535
Algeria,DZA,Surface area (sq. km),AG.SRF.TOTL.K2,2381741,2381741,2381741,..,..
Algeria,DZA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..
Algeria,DZA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,194060473548.879,177026869489.297,184244166678.997,201445397620.018,226263357365.072
Algeria,DZA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4540,4070,4170,4490,4960
Algeria,DZA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,589311312706.742,549034369411.233,636322358369.822,702937933908.706,765521472667.627
Algeria,DZA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,13800,12640,14400,15650,16790
Algeria,DZA,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.474,74.453,76.377,77.129,..
Algeria,DZA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.988,2.942,2.889,2.829,..
Algeria,DZA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,12.303,12.057,11.714,11.564,..
Algeria,DZA,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,53.6,..,..,..,..
Algeria,DZA,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,98.8,..,..,..,..
Algeria,DZA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,23.5,22.9,22.3,21.8,..
Algeria,DZA,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,2.7,..,..,..,..
Algeria,DZA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,80,80,79,79,..
Algeria,DZA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,99.7298889160156,102.240936279297,99.7526779174805,94.7113876342773,99.678840637207
Algeria,DZA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,105.932548522949,102.7021484375
Algeria,DZA,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,..,..,..,..
Algeria,DZA,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,0.1,0.1,0.1,..
Algeria,DZA,Forest area (sq. km),AG.LND.FRST.K2,19390,19490,19583.333,..,..
Algeria,DZA,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,20.6387339573151,19.6067972594494,..,..,..
Algeria,DZA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..
Algeria,DZA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,193459662090.677,164873415325.201,186265418570.697,225560256621.757,239899491127.742
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.89999999991042,-5,3.8,3.60000000017391,4.10000000000679
Algeria,DZA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,0.882992828155892,-4.71138391622451,15.9538980487654,22.8860752407762,-2.25825427168107
Algeria,DZA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,11.4791798857164,12.8341693887186,11.2334026305213,10.6168636526375,13.153358713028
Algeria,DZA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,33.5743211841578,30.0235803787213,36.3169164014046,43.0607932210712,37.9985587313596
Algeria,DZA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,20.407941949491,15.5352011116191,23.8825078175472,31.4468558130383,25.1675208213976
Algeria,DZA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,26.0989006586763,24.8545554509197,23.3883951900933,20.3943509800654,21.0283730527596
Algeria,DZA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,44.6295617875004,42.9493576825015,39.0886223997009,34.8516503606812,37.7372821866312
Algeria,DZA,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,..,..,..,..,..
Algeria,DZA,Start-up procedures to register a business (number),IC.REG.PROC,12,..,..,..,..
Algeria,DZA,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,..,..,..,..,..
Algeria,DZA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,5.99969025937654,6.69246839735744,5.58544666775166,4.77943828648395,..
Algeria,DZA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,106.3696091,104.842178,106.4235366,109.1653573,..
Algeria,DZA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,..,..,..
Algeria,DZA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,41.3233431383382,34.8625033857803,40.8572888000224,46.3672109468206,39.0363479137745
Algeria,DZA,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,101.6912729064,72.7872075272,115.7738397249,..,..
Algeria,DZA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,5492379098.5,5177878073.5,7378779146.5,7129257355.9,..
Algeria,DZA,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,0.102721141380639,0.107951543184291,0.105242842235588,0.139629727700149,..
Algeria,DZA,Net migration,SM.POP.NETM,-36386,-18797,-18797,-9999,-9999
Algeria,DZA,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,81545364.5801963,149253465.262997,83216354.2530757,77650629.4705225,74973190.7473104
Algeria,DZA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1381200049.59264,1143918159.62919,869194073.014935,240013321.325058,1215776626.75898
Algeria,DZA,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,4.02759671805193,4.82950426120637,4.85422942254865,4.78785221981637,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,47321,46189,45035,44273,43914
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,-2.30413869890523,-2.4212497099907,-2.53017092647207,-1.70649548061895,-0.814183458237158
American Samoa,ASM,Surface area (sq. km),AG.SRF.TOTL.K2,200,200,200,..,..
American Samoa,ASM,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..
American Samoa,ASM,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,..,..,..,..,..
American Samoa,ASM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..
American Samoa,ASM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..
American Samoa,ASM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..
American Samoa,ASM,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..
American Samoa,ASM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..
American Samoa,ASM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,30.65,30.191,30.036,29.989,..
American Samoa,ASM,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,..,..
American Samoa,ASM,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,..,..,..
American Samoa,ASM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,..,..,..,..,..
American Samoa,ASM,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..
American Samoa,ASM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..
American Samoa,ASM,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,..,..,..,..
American Samoa,ASM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..
American Samoa,ASM,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,..,..,..,..
American Samoa,ASM,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,..,..,..,..,..
American Samoa,ASM,Forest area (sq. km),AG.LND.FRST.K2,171.6,171.3,171,..,..
American Samoa,ASM,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,..,..,..,..,..
American Samoa,ASM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..
American Samoa,ASM,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,647000000,721000000,750000000,871000000,..
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.487804878048777,4.41176470588236,-0.782472613458523,1.73501577287065,..
American Samoa,ASM,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1.74828930007058,6.72878072142282,4.8425556863277,14.1527648578811,..
American Samoa,ASM,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,..,..,..,..,..
American Samoa,ASM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,..,..,..,..,..
American Samoa,ASM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,61.6692426584235,59.2233009708738,44.2666666666667,46.9575200918485,..
American Samoa,ASM,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,94.8995363214838,95.1456310679612,92.5333333333333,77.7267508610792,..
American Samoa,ASM,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,..,..,..,..,..
American Samoa,ASM,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,..,..,..,..,..
American Samoa,ASM,Start-up procedures to register a business (number),IC.REG.PROC,..,..,..,..,..
American Samoa,ASM,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,..,..,..,..,..
American Samoa,ASM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,..,..
American Samoa,ASM,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,..,..,..,..,..
American Samoa,ASM,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,..,..,..
American Samoa,ASM,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,164.605873261206,162.968099861304,159.2,116.99196326062,..
American Samoa,ASM,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,97.9346053201,103.9685570159,104.7727364915,..,..
American Samoa,ASM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..
American Samoa,ASM,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,..,..,..,..,..
American Samoa,ASM,Net migration,SM.POP.NETM,-1650,-1636,-1646,-810,-790
American Samoa,ASM,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,..,..,..,..,..
American Samoa,ASM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..
American Samoa,ASM,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,..,..,..,..,..
Andorra,AND,"Population, total",SP.POP.TOTL,76343,77700,79034,79824,80088
Andorra,AND,Population growth (annual %),SP.POP.GROW,1.75749125736997,1.76189129507448,1.70228822534561,0.994607149162366,0.330181899850107
Andorra,AND,Surface area (sq. km),AG.SRF.TOTL.K2,470,470,470,..,..
Andorra,AND,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..
Andorra,AND,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,3552049470.57949,3284835772.99789,3504812094.64316,3997842572.70562,..
Andorra,AND,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,46530,42280,44350,50080,..
Andorra,AND,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,4823308625.14387,4557679109.75531,5001856284.98537,5993774368.34791,..
Andorra,AND,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,63180,58660,63290,75090,..
Andorra,AND,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..
Andorra,AND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..
Andorra,AND,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,5.985,6.091,5.887,5.91,..
Andorra,AND,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,..,..
Andorra,AND,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,..,..,..
Andorra,AND,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,3,2.9,2.8,2.7,..
Andorra,AND,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..
Andorra,AND,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,98,99,98,..
Andorra,AND,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,64.2213592529297,62.7099685668945,62.0689697265625,..,69.3333282470703
Andorra,AND,"School enrollment, secondary (% gross)",SE.SEC.ENRR,95.6840591430664,96.4627532958984,97.3252334594727,97.4890365600586,99.7635498046875
Andorra,AND,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,..,..,..,..
Andorra,AND,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,..,..,..,..,..
Andorra,AND,Forest area (sq. km),AG.LND.FRST.K2,160,160,160,..,..
Andorra,AND,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,..,..,..,..,..
Andorra,AND,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..
Andorra,AND,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3155149347.80639,2891001149.3611,3324683011.5903,3380602042.84283,3727673593.01922
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.01554763848308,-11.1839399355384,8.28719978108489,9.56379752740844,1.44418423106947
Andorra,AND,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1.37475350829189,1.11378607410401,2.55955652556359,4.23599022878203,5.85990550303667
Andorra,AND,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.522633248415779,0.559442769715814,0.533617929562433,0.489050867520169,0.484408992023205
Andorra,AND,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,11.6998176283166,12.6601582717327,12.3657061543935,11.1453758215743,11.4140681653372
Andorra,AND,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..,..,..,..
Andorra,AND,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,..,..,..,..,..
